Study_Hours,Attendance_Percentage,Previous_Exam_Marks,Assignment_Marks,Internal_Marks,Practice_Test_Score,Sleep_Hours,Final_Exam_Marks
1.1,89.7,89.7,90.3,63.7,56.4,8.7,83.9
1.9,85.7,48.2,91.5,70.1,86.1,5.3,67.3
7,75.1,85.8,84.9,67.5,60.4,5.7,81.5
1,67.3,49,66.4,40.2,90.9,6,56.8
2.4,99.9,89.2,76.6,38.4,42.6,4.3,62.1
5.9,74.2,79,49.6,41.3,96.3,6.5,66.8
7.2,75.3,82.3,80.4,70.1,45.3,4.6,79.1
6.9,62.4,31.2,50.8,67.7,52.8,6,63.5
3,90.8,92.6,81.6,49,82.9,5.8,78.3
7.4,86.2,77.2,53.8,73.3,57.6,7.9,81.4
3.1,64.9,49.8,47.1,84.2,72.6,8,68.1
3.9,58.7,83.9,49.9,37.5,61.1,4.8,67.7
7.7,85.6,48.3,40.1,64.9,82,5.8,72.4
6.8,84.5,86.7,83.1,76.4,46,5.9,82
8.6,67.3,37.3,83.9,50.1,34.1,4.8,64.7
6.9,97.8,75.7,70.9,53.5,51,8,81.8
6.1,61.8,65.1,49.7,71.8,63.2,7.5,79.1
1.8,74.5,36.3,45,88.9,41.8,5,53.4
4.3,97.5,45.7,41.1,83.6,54.8,5.8,67.1
3.4,73.9,30.8,49.9,70,58,4.5,57.9
3.2,83.7,60.5,93.5,78.8,34,7.1,67.9
9.8,72.9,49.6,54.5,56.9,70.8,4.6,74.1
4.5,67.3,68.9,61.3,73.5,91.9,8.9,73.7
9,99.3,49.3,46.3,63,40.6,7.9,66.7
6.7,73.4,49.5,53.3,46.4,71.8,6,68.6
8.2,95.2,78.3,71.2,77.1,76.5,6.9,88.4
5.5,65.3,33.1,76.5,68.4,59.4,8.6,69.3
6.2,64.6,88.7,54.7,56.5,79.1,6.8,79.1
5.4,56.4,85.4,43.5,89.7,58.8,4.9,72.1
2.8,84.3,73.4,63.5,36.3,65.3,5.9,64.7
7.5,71.6,68.6,54.1,53.9,30.5,8.2,66
3.5,93.9,88,53.2,38.4,78.4,7.2,78.6
1.2,76.3,42,97.6,81,76.3,7.3,64.7
6.8,98.6,35.1,77,77.1,32.7,8.3,71.6
2.6,63.3,45.6,73.4,54.9,55.8,8.5,57.6
9.5,94.1,81.6,64.9,75.5,98.5,8.6,99.3
9.6,89.9,32.3,65.7,58.8,59.5,4.5,70
9.2,89.7,67.9,72.5,80.4,65.1,6.7,85.7
4.3,93,94.7,81.8,62.3,93.7,7.7,91.5
1.1,89.2,85.6,82.1,59.7,80.2,7.8,76.7
9.4,83.2,63.9,50.3,91.1,70.7,7,88.5
4.9,60.9,34.1,70,50.1,85.8,4.8,58.7
9.7,56.5,84,64.7,42.2,90.5,8,80.2
9.7,96.4,68.9,92.2,70.1,62,7.6,91.4
8.7,82.7,37.5,77.9,93.2,63.3,4.4,78
3.7,90.8,36.1,72,57.7,57,6.3,65.2
4.5,76.7,89.1,46.9,38.7,97.7,4.9,73
8.7,60.3,73.5,76.3,55.4,78.8,5.7,82.7
3.9,60.6,83.9,47,65.4,35.8,4.1,57.9
2.5,85.9,87.1,60.2,44.7,90.4,6,80.4
6,74.4,67.2,48.6,74.5,63.6,6.7,74
9.4,64,63.6,81.5,94.9,34.8,7.1,87.4
7.3,77.1,58,52.4,62.1,68.5,7.3,71.3
6.1,57.9,50.6,63.5,56.3,59.2,8.2,69.7
1.9,81.2,58.2,93.7,59,91.4,5.1,65.9
6.5,67.1,80.3,52.3,41.9,44.3,4.6,69.1
9.9,90.9,69.1,70.5,88,87.9,8.3,94.4
2.3,69,88,65.2,59.9,69,4.8,70.5
5.7,75.5,58.8,41.1,58.2,33.8,8.9,68.2
8.9,55.5,69.5,87.6,74.6,98,8.2,86.8
7.7,58.3,71,44.1,61.5,65.9,6.5,71.5
7.3,72.7,68.5,68.5,73.9,50.4,8.9,82.3
7.3,76.6,75.7,73.6,38.7,62.9,4.5,82.3
4.2,82,45.4,77.7,83.8,90.1,5.5,74.8
3.6,68.1,63.3,81.3,91.4,51.3,7.2,77.6
8.3,86.3,36.8,55.2,73.9,43.5,5.8,69.4
8.3,93.7,55,40.6,92.3,39,8.6,86.5
8.8,90.1,61.7,83.4,44.1,50.9,4.3,68.3
9.2,56.8,72.4,72.1,63.6,84.6,6.7,85.5
5.6,76.6,91.8,90.2,71.1,63,7,79.5
5.5,59.7,69,89.3,69.9,45.9,7.3,65.8
8.2,65.9,78.3,90.6,59.1,41.6,5.3,80.7
6.8,99.4,62.9,69.1,55.3,53.3,5.8,75
7.3,61.4,71.2,60,42.6,95.8,8.2,77.5
8.2,77.4,34.6,87.5,58.5,54,5,70.3
9,82.8,46.5,67.1,44.8,99.2,8.1,92.3
4,86.6,53.5,51,79.1,64,6.8,68.9
4.4,80.2,60.7,91.3,47.5,42.5,7.8,71.4
1.8,55.4,33,93,38.5,92.4,7.6,57.9
6.2,69.7,39.1,68,68.1,62.2,5,68.5
1.3,78.3,48,44.5,70.7,79.7,6.8,61
5.2,59,93.1,63.3,87.3,98.9,8.3,88
5.9,70.8,51.5,88.2,69.6,33.5,6.2,77.4
3.6,56.5,61.3,94.1,55.7,36.8,8.8,72.5
6.3,58.5,42.7,52.2,83.2,80.4,6.3,72.5
1.3,72.9,69.7,44,67.4,49.7,4.7,50.3
1.3,61,48.2,92.6,39.8,42.9,5.9,53.5
8.4,80.5,43.5,63.4,69,32.8,8.8,83.6
4.2,86,63.6,72.5,89.5,31.5,5.6,71.1
2.1,91,30.4,98.1,58.8,84.2,8.3,72.7
5.7,64,30.5,44,52.8,39.4,8.4,62.7
7.9,62.5,44.2,78.9,43.6,62.7,5.8,69.7
2.9,59.7,32.4,44.4,44.1,72.4,4.4,47.2
6.6,83.6,37,62.5,61,60,7.6,59.2
1.8,86.8,52,88.2,70.7,31.9,5.6,65.8
1.5,56.4,82.2,66,39.8,84.8,7.9,64.4
5.8,97.1,67.2,99.8,91.4,30.7,6.2,82.9
5.9,57.3,63.3,73.5,80.3,83.3,6.4,74.3
6.7,79.4,49.1,59.3,70.2,92.5,7.9,77.3
7.5,86.9,90.6,53.2,84.7,60.3,5.9,86.3
9.8,94.2,55.8,61,39.8,67.5,6.2,77.5
5.6,87.1,35.7,62.4,63.6,63.4,5.9,61.9
3.9,91.1,70.1,44.1,72.8,57.2,5.8,74.8
8.2,70.3,37.4,62.2,84.7,92.1,6.6,77.1
3.4,91.7,52.4,67.9,82,92.6,8,70.8
5,58.6,63,83.4,51.6,53.5,5.8,67.8
1.7,95.3,86.8,79.4,91.5,73.1,6.6,82.5
1.2,79.6,62.1,82.5,42.5,94.9,7.4,69
9.7,91.8,75.6,40.5,87.5,97.3,5.3,96.4
8.5,75.4,94.5,53.1,93.3,65.6,5.4,89.1
7.3,84,38.5,79.7,45.6,61.7,8.7,71.2
4.7,78.7,47.9,69,78.3,49.5,7.6,65.9
2.6,87.9,55.6,40.3,37.4,97.1,6.9,66.2
2.4,58.7,57.4,88.3,59.3,40,7.2,64.1
3.3,57.7,56.7,86.4,66,70.6,4.1,65.7
5.9,66.1,89,72.9,69.8,49.8,7.1,72.5
7.4,62.2,76.4,44,91.2,49.5,6.5,84.7
6.9,94.2,69.5,86,75.3,58.3,6.7,79.1
3.5,64.9,50.1,75,63.9,99.9,5.8,68.5
9.6,98.9,83.5,86.9,83.6,33.8,4.4,90.6
7.6,70.2,92.1,85.1,92,70.5,5,87.2
6,63.2,83.4,88.2,36.3,35.8,8.8,67.9
6.5,90.5,30.1,71.1,94,40.8,6,62.7
4.8,84.6,71.4,48.4,40.2,60.8,6.3,69.5
3.2,77.4,33.3,80.3,83.9,65.7,4.3,63.3
4.2,80,46.7,77.2,51.8,48.1,4.2,73.1
7.8,87.4,33.9,84.5,42.9,52.2,7.6,65.5
1.1,65.3,69.2,50.2,61.4,36.1,6.7,54.3
2,99.8,74.6,51.7,73.6,51.2,6.5,67
1.4,98.9,37.4,93.4,57.9,97.7,5.2,68.5
1.4,84.3,54.9,85,38.3,96.1,7.7,65.6
8.7,64,59.7,94.5,71,53.4,4.8,82.4
7.3,85.6,54,85.5,89.1,70,4.9,78.8
5.3,58.2,37.9,75.8,58,93.7,6.3,63.7
1.9,56.4,57.2,79.2,48,30.4,5.4,48
5.4,66.6,78.8,93.3,61.6,86.7,5.2,72.8
5.3,75.8,34.6,74.7,37.9,96.4,7.2,65.2
2.6,94.1,35.2,77.9,84.2,36.4,7.3,63.5
4.9,87.7,53.1,49.4,84.6,41.3,8.1,67.9
4.6,88.4,91.2,68.4,70.3,97.3,6.1,90.8
6.5,74.1,73.5,83,56.2,67.6,4.4,81.9
6.7,70.6,74.1,56.3,83,31,5.4,72.7
1.4,71.7,53.5,52.1,68.3,48,8.9,53.7
4.4,99.4,68.6,58.8,84.6,61.5,7,75.6
6.6,56.8,30.7,54.5,72.9,78.5,7.5,66.2
5.5,94,71.3,52.9,82.1,81.3,4,76.1
8.7,81,89.4,65.5,70.9,99.7,6.6,90.6
6.9,74.7,69.8,94.5,59.8,50.1,4.2,74
2.5,87.6,86.8,70.4,92.5,67.7,6.8,79.9
1.6,76.9,77.1,51.3,67.5,67.3,8.6,67.5
6.8,94.3,37.8,44.6,71.3,58.4,8.8,71.8
1.2,95.5,88.7,81.8,48.2,41.8,6.7,70.4
6.3,74,34.3,63,72.5,98.4,6.3,69.9
9.5,67.5,64.7,89.3,69.3,89.7,8.7,96.4
6.2,81.7,39.2,79.6,46.1,64.9,7.4,64.7
4.5,96.1,30.8,87.8,38.6,72.2,4.3,55.9
6.8,64.5,57.4,56.3,71.3,45.9,6.3,71.8
5.1,83,49.2,81.5,80.8,68.1,5.2,71.3
5.9,83.4,61.6,55.8,66.4,78.6,6.3,76.6
9.5,88,67.5,96.3,48.6,66.1,6.3,75.4
4.5,60.9,32.8,78.2,75,99.3,6.9,77.4
9.7,87.2,38,59.5,39.8,72.8,5.8,73.9
9.1,95.9,66.3,56.2,61.5,56,4.8,72.3
2.8,63.1,52.3,51.5,44.8,84.1,6.5,54.9
1.6,65.7,77.4,81.7,46.1,41.9,8.2,71.8
1.9,98.7,72.4,53.1,47.1,56.9,7.3,62
1.2,63.1,85,75.7,58.2,54.3,5.7,63.5
1.8,93.4,75,55.9,38.1,60.2,8.7,56.4
7.1,77.2,57.9,79.7,58.9,84.7,8.6,80
1.6,66.1,73.7,88.9,65.7,63.9,5,68.4
3.9,94.2,47.9,86.7,64,85.6,4.2,74.9
8.6,75,49.9,85.7,58,70.4,7.7,74.3
1.2,78.2,81.3,51.3,85.3,53.9,8.1,65.4
8.3,71.2,59,45.3,43.7,86.7,8.8,77.6
3.5,81.7,81.9,81.9,65.3,46.7,8.4,80.4
2.1,62.4,83.5,62.1,38.7,45.7,7,55.9
7.3,72.6,85.7,65.9,39.3,65.3,6.7,81.9
6.7,98.6,89.6,41.9,69.4,48.3,4.1,77.3
8.9,66.6,58,55.6,69,30.6,5.2,75.3
7.6,84.6,50.7,42,87.7,75.4,6.3,77.5
8.2,69.6,67.8,92.8,68.5,65.8,7.1,74.8
3.5,89.8,54.1,54.6,92.6,61.2,6.8,71.6
2.6,60.9,69.1,73.4,37.9,97.7,7.7,73.8
7.8,98.6,75.9,42.3,40.9,70,5.4,71.3
8.3,75.4,74.7,80,37.6,90.4,6.8,81.1
9.9,65.6,54.3,59.4,46.1,39.8,4.4,67.7
4.7,58.3,40.8,93.9,67.5,69.8,6.1,58
4.3,62.6,58,93.3,73.7,90.8,7.8,86.2
8,78.4,39.3,59.5,37.7,70.8,7.5,64.6
4.1,70.2,87.9,94.1,91.8,80.3,9,92.7
9.4,92.3,52.5,99.8,85.5,56,5.4,86.7
8.7,74.4,40,89.5,52.8,36.5,6.5,75.8
4.9,66.2,31.7,90.7,39.6,62.1,5.6,62.4
7.8,82.8,72,54.9,45.2,57.6,6.2,73.1
7.8,86.8,71.4,74.6,42.6,90.7,8.3,80.2
1.9,62.5,52.1,44,42.4,47.1,7.4,55.8
9.1,62.5,34.7,45.7,66.1,97.7,8.4,68.8
5.5,56.7,56.6,99.9,49.8,97.1,5,77.9
8.4,88.1,50.2,59.6,56.5,47.3,8.4,69.5
3.9,84.9,74,84.9,94.4,54.4,4.3,83.9
9.1,76.4,69.4,88.4,76.1,92.7,8.4,94.6
4.5,93,53.7,91.5,91.9,97.7,5.6,86.7
1.1,91.3,44.2,99.9,43.6,61,5.6,61.2
9.1,81.3,94.2,54.5,57.9,52.5,6.6,77.1
1.8,94.1,59.5,42.4,68.3,66.8,8.7,63.2
3.9,64.3,74.7,64.7,39.6,78.1,4.2,69.1
9.6,60,39.1,47.8,35.3,49.1,5.8,63
9.6,67.1,61.6,41.3,75.2,81.6,8.3,87.8
6.2,57.6,31.8,61.6,73.5,33.6,6,62.7
6.7,78.9,62.9,87,59.6,33.5,5,68.1
5,97.1,92.7,74,64.4,57,6.1,78.3
3.6,56.8,55,58.8,59.9,54.7,5.9,61.9
4,60.5,32.5,79.3,36.4,52.1,8.6,48.5
7.1,75.3,32,53.9,55.1,64.4,7.8,73
7.8,97,55.2,40.9,45.6,52.5,6.5,70.5
8.1,69.2,40.4,85.9,40.9,43.5,8.9,74.6
8.1,77.8,31.5,77.4,92.4,51.7,6.3,69.7
1.8,56.9,79.2,85.7,71,98.2,4.3,80.2
5.4,61.7,59.8,42.3,78.7,58.8,5.3,77.1
1.5,99.4,48.8,90.2,53.9,61.1,6.2,59.5
5.9,98.4,88.5,77.2,58.6,70.4,4.8,85.5
5,55.2,37.5,73.8,49.2,98.8,8.7,69.3
9,97.8,92.1,77.5,40.8,46.9,7.8,79.2
4.2,83.8,50.4,91.9,45.7,77.7,5.3,71.2
2.1,94.1,87.7,75.2,82.9,80.1,7,85.7
2.3,75.5,69.2,74.9,75.7,72.5,7.6,71.9
7.9,78.2,83.7,99.4,67.8,36.2,8.7,91.8
6.6,77,94,85.4,63.5,77.4,8.4,83.3
1.9,85,48.7,66.5,90.3,34.5,6.6,58.3
1.8,61.3,92.5,82.4,39.4,71.7,7.9,72.3
7.3,56.3,55.3,63.4,51.8,81.8,6.8,73.1
1.7,68.9,55.1,53.7,56,44.8,6.8,54
8.4,86.7,52.1,75.8,81.9,88.9,4.6,87.4
7.4,64.1,65.2,95.7,94.6,32.1,4.6,82.3
1.7,85.3,40,95.7,49.4,89.1,6.6,69.6
1.8,98.6,66,60.5,87.5,62.2,5.3,70.7
9.9,59.2,65.2,71.7,84.8,45.2,4.1,83
4.4,85.3,79.5,52.7,48.5,39.4,7.6,66.5
4.3,75,84.2,99.7,59,96.7,4.2,90.8
8.3,94.1,58.6,98.9,59.6,35.1,7,76.4
9.5,63,49.7,79,93.7,43.9,6.7,90
9.9,86.2,46.9,88.3,45.9,54.3,8.8,79.7
7.8,92.7,42.7,82.9,82.9,73.4,6.4,76.5
4.4,97.5,33.7,75.6,55.1,68.1,4.3,69.3
1.8,85.7,52.3,43.2,78.9,38.8,6.8,60.6
8,77.4,47.6,67.3,60.2,50.3,8.2,76.9
6,82.8,92.8,80.5,69.7,46.7,9,90.4
4.8,94.1,66.3,80.7,85,44.9,6.2,79
9.2,80.7,52.6,62.4,83.2,58.8,5.6,77.7
